4.177949	7.854544	
9.609283	12.617406	
14.957057	20.137714	
23.480073	27.156669	
28.075817	31.418177	
32.838679	34.175623	
35.846803	38.854926	
52.642158	53.811983	
54.564014	56.151635	
61.750086	62.919912	
74.116816	76.038672	
82.556273	83.976775	
87.402693	88.656078	
198.619696	200.625112	
202.296291	204.218148	
206.975594	213.576754	
215.582169	217.253349	
280.215040	280.862623	
283.912525	285.312138	
293.062234	295.485444	
296.759719	299.726062	
300.373644	302.253721	
307.664165	308.290858	
310.108266	310.693178	
313.784861	314.495112	
320.281571	323.498592	
324.083505	325.545787	
326.840951	328.407682	
329.807295	332.794529	
338.267642	340.544624	
343.510968	344.283889	
346.310194	347.375571	
366.531467	367.993749	
400.895098	401.793357	
438.517529	439.039772	
469.350792	469.935705	
500.288505	501.353882	
502.628156	503.505525	
515.872255	516.269160	
522.180958	523.747688	
527.445173	528.573220	
530.954651	532.124476	
534.004553	537.388692	
552.053293	557.317509	
565.339171	566.112091	
567.971279	568.848648	
570.895843	573.235495	
573.757738	576.055610	
584.996421	585.978239	
